total_requests,external_domain_count,redirect_count,js_requests,ip_based_requests,suspicious_tld_count,download_attempts,final_url_differs,unique_request_domains,unique_request_domain_ratio,script_domain_count,external_request_ratio,error_flag,timeout_flag,document_requests,script_requests,stylesheet_requests,image_requests,font_requests,xhr_fetch_requests,other_requests,label
175,44,41,42,0,0,0,0,47,0.26857142857142857,16,0.25142857142857145,0,0,16,42,4,93,6,10,4,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
47,1,0,31,0,0,0,0,2,0.0425531914893617,2,0.02127659574468085,0,0,4,31,0,4,0,8,0,0
11,6,1,3,0,0,0,1,7,0.6363636363636364,3,0.5454545454545454,0,0,3,3,0,2,2,0,1,1
61,21,2,22,0,0,0,1,22,0.36065573770491804,9,0.3442622950819672,0,0,2,22,1,20,4,8,4,0
16,1,0,6,0,0,0,0,2,0.125,2,0.0625,0,0,2,6,3,2,0,3,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
49,2,1,9,0,0,0,1,3,0.061224489795918366,1,0.04081632653061224,0,0,2,9,7,28,3,0,0,0
80,4,0,60,0,0,0,0,5,0.0625,1,0.05,0,0,1,60,14,1,0,0,4,0
4,2,2,0,0,0,0,1,3,0.75,0,0.5,0,0,3,0,0,1,0,0,0,0
50,5,0,11,0,0,0,0,6,0.12,4,0.1,0,0,1,11,5,29,2,2,0,0
3,2,0,0,0,0,0,0,3,1.0,0,0.6666666666666666,0,0,1,0,1,0,1,0,0,1
94,14,3,25,0,0,0,1,14,0.14893617021276595,7,0.14893617021276595,0,0,10,25,2,24,6,22,5,0
49,4,3,20,0,0,0,1,5,0.10204081632653061,2,0.08163265306122448,0,0,3,20,21,3,2,0,0,1
44,15,4,13,0,0,0,1,16,0.36363636363636365,9,0.3409090909090909,0,0,3,13,2,13,0,6,7,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
32,2,1,8,0,1,0,0,3,0.09375,2,0.0625,0,0,1,8,2,21,0,0,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,2,1.0,0,0.5,1,0,2,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,0
48,14,0,14,0,0,0,0,15,0.3125,9,0.2916666666666667,0,0,1,14,4,6,4,12,7,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
4,1,1,1,0,0,0,1,2,0.5,1,0.25,0,0,2,1,0,0,0,1,0,0
84,6,2,33,0,0,0,1,7,0.08333333333333333,4,0.07142857142857142,0,0,2,33,24,11,3,6,5,0
107,38,8,43,0,0,0,1,39,0.3644859813084112,20,0.35514018691588783,0,0,7,43,4,16,4,29,4,0
94,2,0,63,0,0,0,0,3,0.031914893617021274,1,0.02127659574468085,0,0,1,63,14,2,4,9,1,1
1,0,0,0,1,0,0,0,1,1.0,0,0.0,1,1,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,0
36,2,1,26,0,0,0,0,3,0.08333333333333333,3,0.05555555555555555,0,0,3,26,0,2,0,5,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,1,1,0,0,0,0,0,0,1
68,14,2,11,0,0,0,1,15,0.22058823529411764,8,0.20588235294117646,0,0,4,11,2,44,5,2,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
249,44,5,106,0,0,0,1,45,0.18072289156626506,26,0.17670682730923695,0,0,6,106,14,81,5,36,1,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,0
